number,text
footnote 786,"Euſebius, l. viii. c. 4. c. 17. He limits the number of military martyrs, by a remarkable expreſſion〈 in non-Latin alphabet 〉, of which neither his Latin nor French tranſlator have rendered the energy. Notwithſtanding the authority of Euſebius, and the ſilence of Lactantius, Ambroſe, Sulpicius, Oroſius, &c. it has been long believed, that the Thebaean legion, conſiſting of 6000 Chriſtians, ſuffered martyrdom, by the order of Maximian, in the valley of the Penine Alps. The ſtory was firſt publiſhed about the middle of the vth century, by Eucherius, biſhop of Lyons, who received it from certain perſons, who received it from Iſaac biſhop of Geneva, who is ſaid to have received it from Theodore biſhop of Octodurum. The Abbey of St. Maurice ſtill ſubſiſts, a rich monument of the credulity of Sigiſmond, king of Burgundy. See an excellent Diſſertation in the xxxvith volume of the Bibliothéque Raiſonnée, p. 427-454."
footnote 787,"See the Acta Sincera, p. 299. The accounts of his martyrdom, and of that of Marcellus, bear every mark of truth and authenticity."
footnote 788,"Acta Sincera, p. 302."
footnote 789,"De M. P. c. 11. Lactantius (or whoever was the author of this little treatiſe) was, at that time, an inhabitant of Nicomedia; but it ſeems difficult to conceive how he could acquire ſo accurate a knowledge of what paſſed in the Imperial cabinet."
footnote 790,"The only circumſtance which we can diſcover, is the devotion and jealouſy of the mother of Galerius. She is deſcribed by Lactantius, as Deorum montium cultrix; mulier admodum ſuperſtitioſa. She had a great influence over her ſon, and was offended by the diſregard of ſome of her Chriſtian ſervants."
footnote 791,"The worſhip and feſtival of the God Terminus are elegantly illuſtrated by M. de Boze, Mem. de l'Academie des Inſcriptions, tom. i. p. 50."
footnote 792,"In our only MS. of Lactantius, we readprofectus;but reaſon, and the authority of all the critics, allow us, inſtead of that word, which deſtroys the ſenſe of the paſſage, to ſubſtitutepraefectus."
footnote 793,"Lactantius de M. P. c. 12, gives a very lively picture of the deſtruction of the church."
footnote 794,"Moſheim (p. 922—926.), from many ſcattered paſſages of Lactantius and Euſebius, has collected a very juſt and accurate notion of this edict; though he ſometimes deviates into conjecture and refinement."
footnote 795,"Many ages afterwards, Edward I. practiſed, with great ſucceſs, the ſame mode of perſecution againſt the clergy of England. See Hume's Hiſtory of England, vol. ii. p. 300, laſt 4 to edition."
footnote 796,"Lactantius only calls him quidam, etſi non recte, magno tamen animo, &c. c. 12. Euſebius (l. viii. c. 5.) adorns him with ſecular honours. Neither have condeſcended to mention his name; but the Greeks celebrate his memory under that of John. See Tillemont, Memoires Eccleſiaſtiques, tom. v. part ii. p. 320."
footnote 797,"Lactantius de M. P. c. 13, 14. Potentiſſimi quondam Eunuchi necati, per quos Palatium et ipſe conſtabat. Euſebius (l. viii. c. 6.) mentions the cruel extortions of the eunuchs, Gorgonius and Dorotheus, and of Anthimius, biſhop of Nicomedia; and both thoſe writers deſcribe, in a vague but tragical manner, the horrid ſcenes which were acted even in the Imperial preſence."
footnote 798,"See Lactantius, Euſebius, and Conſtantine, ad Coetum Sanctorum, c. 25. Euſebius confeſſes his ignorance of the cauſe of the fire."
footnote 799,"Tillemont, Memoires Eccleſiaſt. tom. v. part i. p. 43."
footnote 800,"See the Acta Sincera of Ruinart, p. 353; thoſe of Foelix of Thibara, or Tibiur, appear much leſs corrupted than in the other editions, which afford a lively ſpecimen of legendary licence."
footnote 801,"See the firſt book of Optatus of Milevis againſt the Donatiſts at Paris, 1700. Edit. Dupin. He lived under the reign of Valens."
footnote 802,"The ancient monuments, publiſhed at the end of Optatus, p. 261, &c. deſcribe, in a very circumſtantial manner, the proceedings of the governors in the deſtruction of churches. They made a minute inventory of the plate, &c. which they found in them. That of the church of Cirta, in Numidia, is ſtill extant. It conſiſted of two chalices of gold, and ſix of ſilver; ſix urns, one kettle, ſeven lamps, all likewiſe of ſilver; beſides a large quantity of braſs utenſils, and wearing apparel."
footnote 803,"Lactantius (Inſtitut. Divin. v. 11.) confines the calamity to theconventiculum,with its congregation. Euſebius (viii. 11.) extends it to a whole city, and introduces ſomething very like a regular ſiege. His ancient Latin tranſlator, Rufinus, adds the important circumſtance of the permiſſion given to the inhabitants of retiring from thence. As Phrygia reached to the confines of Iſauria, it is poſſible that the reſtleſs temper of thoſe independent Barbarians may have contributed to this misfortune."
footnote 804,"Euſebius, l. viii. c. 6. M. de Valois (with ſome probability) thinks that he has diſcovered the Syrian rebellion in an oration of Libanius; and that it was a raſh attempt of the tribune Eugenius, who with only five hundred men ſeized Antioch, and might perhaps allure the Chriſtians by the promiſe of religious toleration. From Euſebius (l. ix. c. 8.) as well as from Moſes of Chorene (Hiſt. Armen. l. ii. c. 77, &c.) it may be inferred, that Chriſtianity was already introduced into Armenia."
footnote 805,"See Moſheim, p. 938; the text of Euſebius very plainly ſhews, that the governors, whoſe powers were enlarged, not reſtrained, by the new laws, could puniſh with death the moſt obſtinate Chriſtians, as an example to their brethren."
footnote 806,"Athanaſius, p. 833. ap. Tillemont, Mem. Eccleſiaſt. tom. v. part i. p. 90."
footnote 807,"Euſebius, l. viii. c. 13. Lactantius de M. P. c. 15. Dodwell (Diſſertat. Cyprian. xi. 75.) repreſents them as inconſiſtent with each other. But the former evidently ſpeaks of Conſtantius in the ſtation of Caeſar, and the latter of the ſame prince in the rank of Auguſtus."
footnote 808,"Datianus is mentioned in Gruter's Inſcriptions, as having determined the limits between the territories of Pax Julia, and thoſe of Ebora, both cities in the ſouthern part of Luſitania. If we recollect the neighbourhood of thoſe places to Cape St. Vincent, we may ſuſpect that the celebrated deacon and martyr of that name has been inaccurately aſſigned by Prudentius, &c. to Saragoſſa, or Valentia. See the pompous hiſtory of his ſufferings, in the Memoires de Tillemont, tom. v. part ii. p. 58—85. Some critics are of opinion, that the department of Conſtantius, as Caeſar, did not include Spain, which ſtill continued under the immediate juriſdiction of Maximian."
footnote 809,"Euſebius, l. viii. c. 11. Gruter, Inſcript. p. 1171. No. 18. Rufinus has miſtaken the office of Adauctus, as well as the place of his martyrdom."
footnote 810,"Euſebius, l. viii. c. 14. But as Maxentius was vanquiſhed by Conſtantine, it ſuited the purpoſe of Lactantius to place his death among thoſe of the perſecutors."
footnote 811,"The epitaph of Marcellus is to be found in Gruter, Inſcript. p. 1172. No. 3. and it contains all that we know of his hiſtory. Marcellinus and Marcellus, whoſe names follow in the liſt of popes, are ſuppoſed by many critics to be different perſons; but the learned Abbé de Longuerre was convinced that they were one and the ſame.Veridicus rector lapſis quia crimina flerePraedixit miſeris, fuit omnibus hoſtis amarus.Hinc furor, hinc odium; ſequitur diſcordia, lites,Seditio, caedes; ſolvuntur foedera pacis.Crimen ob alterius, Chriſtum qui in pace negavitFinibus expulſus patriae eſt feritate Tyranni.Haec breviter Damaſus voluit comperta referre:Marcelli populus meritum cognoſcere poſſet.We may obſerve that Damaſus was made biſhop of Rome, A. D. 366."
footnote 812,"Optatus contr. Donatiſt. l. i. c. 17, 18."
footnote 813,"The Acts of the Paſſion of St. Boniface, which abound in miracles and declamation, are publiſhed by Ruinart (p. 283-291.), both in Greek and Latin, from the authority of very ancient manuſcripts."
footnote 814,"During the four firſt centuries, there exiſt few traces of either biſhops or biſhoprics in the weſtern Illyricum. It has been thought probable that the primate of Milan extended his juriſdiction over Sirmium, the capital of that great province. See the Geographia Sacra of Charles de St. Paul, p. 68-76. with the obſervations of Lucas Holſtenius."
footnote 815,"The viiith book of Euſebius, as well as the ſupplement concerning the martyrs of Paleſtine, principally relate to the perſecution of Galerius and Maximin. The general lamentations with which Lactantius opens the vth book of his Divine Inſtitutions, allude to their cruelty."
footnote 816,"Euſebius (l. viii. c. 17.) has given us a Greek verſion, and Lactantius (de M. P. c. 34.), the Latin original, of this memorable edict. Neither of theſe writers ſeems to recollect how directly it contradicts whatever they have juſt affirmed of the remorſe and repentance of Galerius."
footnote 817,"Euſebius, l. ix. c. 1. He inſerts the epiſtle of the praefect."
footnote 818,"See Euſebius, l. viii. c. 14. l. ix. c. 2—8. Lactantius de M. P. c. 36. Theſe writers agree in repreſenting the arts of Maximin: but the former relates the execution of ſeveral martyrs, while the latter expreſsly affirms, occidi ſervos Dei vetuit."
footnote 819,"A few days before his death, he publiſhed a very ample edict of toleration, in which he imputes all the ſeverities which the Chriſtians ſuffered to the judges and governors, who had miſunderſtood his intentions. See the Edict in Euſebius, l. ix. c. 10."
footnote 820,"Such is thefairdeduction from two remarkable paſſages in Euſebius, l. viii. c. 2. and de Martyr. Paleſtin. c. 12. The prudence of the hiſtorian has expoſed his own character to cenſure and ſuſpicion. It was well known that he himſelf had been thrown into priſon; and it was ſuggeſted that he had purchaſed his deliverance by ſome diſhonourable compliance. The reproach was urged in his life-time, and even in his preſence, at the council of Tyre. See Tillemont, Memoires Eccleſiaſtiques, tom. viii. part i. p. 67."
footnote 821,"The ancient, and perhaps authentic, account of the ſufferings of Tarachus, and his companions (Acta Sincera Ruinart, p. 419—448), is filled with ſtrong expreſſions of reſentment and contempt, which could not fail of irritating the magiſtrate. The behaviour of Aedeſius to Hierocles, praefect of Egypt, was ſtill more extraordinary,〈 in non-Latin alphabet 〉. Euſeb. de Martyr. Paleſtin. c. 5."
footnote 822,Euſeb. de Martyr. Paleſtin. c. 13.
footnote 823,"Auguſtin. Collat. Carthagin. Dei, iii. c. 13. ap. Tillemont, Memoires Eccleſiaſtiques, tom. v. part i. p. 46. The controverſy with the Donatiſts has reflected ſome, though perhaps a partial, light on the hiſtory of the African church."
footnote 824,"Euſebius de Martyr. Paleſtin. c. 13. He cloſes his narration, by aſſuring us, that theſe were the martyrdoms inflicted in Paleſtine, during thewholecourſe of the perſecution. The vth chapter of his viiith book, which relates to the province of Thebais in Egypt, may ſeem to contradict our moderate computation; but it will only lead us to admire the artful management of the hiſtorian. Chuſing for the ſcene of the moſt exquiſite cruelty, the moſt remote and ſequeſtered country of the Roman empire, he relates, that in Thebais, from ten to one hundred perſons had frequently ſuffered martyrdom in the ſame day. But when he proceeds to mention his own journey into Egypt, his language inſenſibly becomes more cautious and moderate. Inſtead of a large, but definite number, he ſpeaks of many Chriſtians (〈 in non-Latin alphabet 〉); and moſt artfully ſelects two ambiguous words (〈 in non-Latin alphabet 〉, and〈 in non-Latin alphabet 〉), which may ſignify either what he had ſeen, or what he had heard; either the expectation, or the execution, of the puniſhment. Having thus provided a ſecure evaſion, he commits the equivocal paſſage to his readers and tranſlators; juſtly conceiving that their piety would induce them to prefer the moſt favourable ſenſe. There was perhaps ſome malice in the remark of Theodorus Metochita, that all who, like Euſebius, had been converſant with the Egyptians, delighted in an obſcure and intricate ſtyle. (See Valeſius ad loc.)"
footnote 825,"When Paleſtine was divided into three, the praefecture of the Eaſt contained forty-eight provinces. As the ancient diſtinctions ofnations were long ſince aboliſhed, the Romans diſtributed the provinces, according to a general proportion of their extent and opulence."
footnote 826,"Ut gloriari poſſint nullum ſe innocentium peremiſſe, nam et ipſe audivi aliquos gloriantes, quia adminiſtratio ſua, in hâc parte, fuerit incruenta. Lactant. Inſtitut. Divin. v. 11."
footnote 827,"Grot. Annal. de Rebus Belgicis, l. i. p. 12. Edit. fol."
footnote 828,"Fra-Paolo (Iſtoria del Concilio Tridentino, l. iii.) reduces the number of Belgic martyrs to 50,000. In learning and moderation, Fra-Paolo was not inferior to Grotius. The priority of time gives ſome advantage to the evidence of the former, which he loſes on the other hand by the diſtance of Venice from the Netherlands."
